Coach,School,Conference,,W,L,W-L%,AP Pre,AP Post,NCAA Tournament,,Since,W,L,W-L%,NCAA,S16,FF,Chmp,,W,L,W-L%,NCAA,S16,FF,Chmp
Amir Abdur-Rahim,South Florida,AAC,,25,8,.758,,,,,2023-24,25,8,.758,,,,,,70,82,.461,1,,,
Lennie Acuff,Lipscomb,A-Sun,,20,12,.625,,,,,2019-20,85,72,.541,,,,,,85,72,.541,,,,
Griff Aldrich,Longwood,Big South,,21,14,.600,,,Lost First Round,,2018-19,109,86,.559,2,,,,,109,86,.559,2,,,
Casey Alexander,Belmont,MVC,,20,13,.606,,,,,2019-20,118,43,.733,,,,,,255,163,.610,1,,,
Steve Alford,Nevada,MWC,,26,8,.765,,,Lost First Round,,2019-20,96,59,.619,2,,,,,605,328,.648,13,4,,
Dana Altman,Oregon,Pac-12,,24,12,.667,,,Lost Second Round,,2010-11,345,152,.694,8,5,1,,,755,395,.657,16,5,1,
Tommy Amaker,Harvard,Ivy,,14,13,.519,,,,,2007-08,292,179,.620,4,,,,,468,318,.595,5,1,,
Tobin Anderson,Iona,MAAC,,16,17,.485,,,,,2023-24,16,17,.485,,,,,,37,33,.529,1,,,
Adrian Autry,Syracuse,ACC,,20,12,.625,,,,,2023-24,20,12,.625,,,,,,20,12,.625,,,,
Kevin Baggett,Rider,MAAC,,15,17,.469,,,,,2012-13,192,183,.512,,,,,,192,183,.512,,,,
Jeremy Ballard,Florida International,CUSA,,11,22,.333,,,,,2018-19,88,101,.466,,,,,,88,101,.466,,,,
Tony Barbee,Central Michigan,MAC,,18,14,.562,,,,,2021-22,35,58,.376,,,,,,166,185,.473,1,,,
Rick Barnes,Tennessee,SEC,,27,9,.750,9,5,Lost Regional Final,,2015-16,202,101,.667,6,3,,,,806,415,.660,28,9,1,
Rod Barnes,Cal State Bakersfield,Big West,,13,19,.406,,,,,2011-12,196,212,.480,1,,,,,382,401,.488,4,1,,
Brian Barone,SIU-Edwardsville,OVC,,17,16,.515,,,,,2019-20,64,91,.413,,,,,,64,91,.413,,,,
Chris Beard,Ole Miss,SEC,,20,12,.625,,,,,2023-24,20,12,.625,,,,,,191,85,.692,6,3,1,
John Becker,Vermont,AEC,,28,7,.800,,,Lost First Round,,2011-12,308,120,.720,6,,,,,308,120,.720,6,,,
Randy Bennett,Saint Mary's,WCC,,26,8,.765,23,21,Lost First Round,,2001-02,533,216,.712,10,1,,,,533,216,.712,10,1,,
Tony Bennett,Virginia,ACC,,23,11,.676,,,Lost First Four,,2009-10,364,136,.728,10,3,1,1,,433,169,.719,12,4,1,1
Grant Billmeier,NJIT,AEC,,7,21,.250,,,,,2023-24,7,21,.250,,,,,,8,21,.276,,,,
Kenneth Blakeney,Howard,MEAC,,18,17,.514,,,Lost First Four,,2019-20,61,76,.445,2,,,,,61,76,.445,2,,,
Jeff Boals,Ohio,MAC,,20,13,.606,,,,,2019-20,98,60,.620,1,,,,,153,102,.600,1,,,
Anthony Boone,Central Arkansas,A-Sun,,9,23,.281,,,,,2019-20,43,96,.309,,,,,,43,96,.309,,,,
Chad Boudreau,Western Illinois,OVC,,21,12,.636,,,,,2023-24,21,12,.636,,,,,,21,12,.636,,,,
Tad Boyle,Colorado,Pac-12,,26,11,.703,,,Lost Second Round,,2010-11,298,183,.620,6,,,,,354,249,.587,6,,,
Michael Boynton,Oklahoma State,Big 12,,12,20,.375,,,,,2017-18,119,109,.522,1,,,,,119,109,.522,1,,,
Solomon Bozeman,Arkansas-Pine Bluff,SWAC,,13,18,.419,,,,,2021-22,30,63,.323,,,,,,30,63,.323,,,,
Matt Brady,DePaul,Big East,,0,14,.000,,,,,2023-24,0,14,.000,,,,,,212,191,.526,1,,,
Kevin Broadus,Morgan State,MEAC,,11,20,.355,,,,,2019-20,68,75,.476,,,,,,105,100,.512,1,,,
Alvin Brooks,Lamar,Southland,,19,14,.576,,,,,2021-22,30,63,.323,,,,,,84,147,.364,,,,
Brad Brownell,Clemson,ACC,,24,12,.667,,14,Lost Regional Final,,2010-11,265,189,.584,4,2,,,,432,274,.612,7,2,,
Shane Burcar,Northern Arizona,Big Sky,,14,19,.424,,,,,2019-20,57,95,.375,,,,,,57,95,.375,,,,
Rashon Burno,Northern Illinois,MAC,,11,20,.355,,,,,2021-22,33,60,.355,,,,,,33,60,.355,,,,
Landon Bussie,Alcorn State,SWAC,,14,18,.438,,,,,2020-21,55,62,.470,,,,,,55,62,.470,,,,
Mark Byington,James Madison,Sun Belt,,32,4,.889,,,Lost Second Round,,2020-21,82,36,.695,1,,,,,213,133,.616,1,,,
Rick Cabrera,Northwestern State,Southland,,9,23,.281,,,,,2023-24,9,23,.281,,,,,,9,23,.281,,,,
Jerrod Calhoun,Youngstown State,Horizon,,22,10,.688,,,,,2017-18,118,106,.527,,,,,,118,106,.527,,,,
John Calipari *,Kentucky,SEC,,23,10,.697,16,20,Lost First Round,,2009-10,410,123,.769,12,8,4,1,,855,263,.765,23,15,6,1
Jeff Capel III *,Pitt,ACC,,22,11,.667,,,,,2018-19,97,92,.513,1,,,,,272,202,.574,4,1,,
Chris Caputo,George Washington,A-10,,15,17,.469,,,,,2022-23,31,33,.484,,,,,,31,33,.484,,,,
Chris Casey,Fairfield,MAAC,,24,13,.649,,,,,2023-24,24,13,.649,,,,,,88,142,.383,,,,
Jack Castleberry,FDU,NEC,,15,17,.469,,,,,2023-24,15,17,.469,,,,,,15,17,.469,,,,
Patrick Chambers,Florida Gulf Coast,A-Sun,,14,18,.438,,,,,2022-23,31,33,.484,,,,,,221,211,.512,1,,,
Nate Champion,Le Moyne,NEC,,15,17,.469,,,,,2023-24,15,17,.469,,,,,,15,17,.469,,,,
Speedy Claxton,Hofstra,CAA,,20,13,.606,,,,,2021-22,66,34,.660,,,,,,66,34,.660,,,,
Jase Coburn,Portland State,Big Sky,,17,15,.531,,,,,2021-22,43,51,.457,,,,,,43,51,.457,,,,
Bill Coen,Northeastern,CAA,,12,20,.375,,,,,2006-07,282,284,.498,2,,,,,282,284,.498,2,,,
Jon Coffman,Purdue Fort Wayne,Horizon,,23,13,.639,,,,,2014-15,179,142,.558,,,,,,179,142,.558,,,,
Brian Collins,Tennessee State,OVC,,18,15,.545,,,,,2018-19,81,102,.443,,,,,,81,102,.443,,,,
Chris Collins,Northwestern,Big Ten,,22,12,.647,,,Lost Second Round,,2013-14,178,174,.506,3,,,,,178,174,.506,3,,,
Ed Conroy,The Citadel,Southern,,11,21,.344,,,,,2006-07,70,119,.370,,,,,,162,222,.422,,,,
Ed Cooley,Georgetown,Big East,,9,23,.281,,,,,2023-24,9,23,.281,,,,,,343,245,.583,7,1,,
Donald Copeland,Wagner,NEC,,17,16,.515,,,Lost First Round,,2022-23,32,29,.525,1,,,,,32,29,.525,1,,,
Ron Cottrell,Houston Christian,Southland,,6,23,.207,,,,,2008-09,153,331,.316,,,,,,153,331,.316,,,,
Tim Craft,Gardner-Webb,Big South,,17,16,.515,,,,,2013-14,188,166,.531,1,,,,,188,166,.531,1,,,
Jason Crafton,Maryland-Eastern Shore,MEAC,,9,20,.310,,,,,2019-20,43,76,.361,,,,,,43,76,.361,,,,
Matt Crenshaw,IUPUI,Horizon,,6,26,.188,,,,,2021-22,14,79,.151,,,,,,14,79,.151,,,,
Mick Cronin,UCLA,Pac-12,,16,17,.485,,,,,2019-20,115,53,.685,3,3,1,,,480,224,.682,14,4,1,
Scott Cross,Troy,Sun Belt,,20,12,.625,,,,,2019-20,80,76,.513,,,,,,305,237,.563,1,,,
Rick Croy,California Baptist,WAC,,16,17,.485,,,,,2018-19,101,84,.546,,,,,,101,84,.546,,,,
Chris Crutchfield,Omaha,Summit,,15,18,.455,,,,,2022-23,24,41,.369,,,,,,24,41,.369,,,,
Dan D'Antoni II,Marshall,Sun Belt,,13,20,.394,,,,,2014-15,177,148,.545,1,,,,,177,148,.545,1,,,
Keith Dambrot,Duquesne,A-10,,25,12,.676,,,Lost Second Round,,2017-18,116,96,.547,1,,,,,441,269,.621,4,,,
Scott Davenport,Bellarmine,A-Sun,,8,23,.258,,,,,2020-21,57,62,.479,,,,,,57,62,.479,,,,
Hubert Davis,UNC,ACC,,29,8,.784,19,7,Lost Regional Semifinal,,2021-22,78,31,.716,2,2,1,,,78,31,.716,2,2,1,
Mike Davis,Detroit Mercy,Horizon,,1,31,.031,,,,,2018-19,60,119,.335,,,,,,412,360,.534,9,1,1,
Nathan Davis,New Hampshire,AEC,,16,15,.516,,,,,2023-24,16,15,.516,,,,,,145,130,.527,2,,,
Johnny Dawkins Jr,UCF,Big 12,,17,16,.515,,,,,2016-17,148,103,.590,1,,,,,304,218,.582,2,1,,
Ed DeChellis,Navy,Patriot,,13,18,.419,,,,,2011-12,181,211,.462,,,,,,400,442,.475,2,,,
Travis DeCuire,Montana,Big Sky,,24,12,.667,,,,,2014-15,201,124,.618,2,,,,,201,124,.618,2,,,
Darian DeVries,Drake,MVC,,28,7,.800,,,Lost First Round,,2018-19,150,55,.732,3,,,,,150,55,.732,3,,,
Dave Dickerson,USC Upstate,Big South,,10,20,.333,,,,,2018-19,65,117,.357,,,,,,133,201,.398,,,,
Jake Diebler,Ohio State,Big Ten,,8,3,.727,,,,,2023-24,8,3,.727,,,,,,8,3,.727,,,,
Jamie Dixon,TCU,Big 12,,21,13,.618,,,Lost First Round,,2016-17,160,110,.593,4,,,,,488,233,.677,15,3,,
Steve Donahue,Penn,Ivy,,11,18,.379,,,,,2015-16,123,111,.526,1,,,,,323,325,.498,4,1,,
Kieran Donohue,Old Dominion,Sun Belt,,4,19,.174,,,,,2023-24,4,19,.174,,,,,,4,19,.174,,,,
Bryce Drew,Grand Canyon,WAC,,30,5,.857,,,Lost Second Round,,2020-21,94,32,.746,3,,,,,258,140,.648,6,,,
Scott Drew,Baylor,Big 12,,24,11,.686,20,16,Lost Second Round,,2003-04,446,244,.646,12,5,1,1,,466,255,.646,12,5,1,1
Matthew Driscoll,North Florida,A-Sun,,16,16,.500,,,,,2009-10,233,247,.485,1,,,,,233,247,.485,1,,,
Eric Duft,Weber State,Big Sky,,20,12,.625,,,,,2022-23,38,27,.585,,,,,,38,27,.585,,,,
John Dunne,Marist,MAAC,,18,13,.581,,,,,2018-19,76,100,.432,,,,,,229,325,.413,1,,,
Fran Dunphy,La Salle,A-10,,16,17,.485,,,,,2022-23,31,36,.463,,,,,,611,361,.629,17,,,
Pat Duquette,UMass-Lowell,AEC,,22,10,.688,,,,,2013-14,158,173,.477,,,,,,158,173,.477,,,,
Brian Dutcher,San Diego State,MWC,,26,11,.703,17,17,Lost Regional Semifinal,,2017-18,177,58,.753,5,2,1,,,177,58,.753,5,2,1,
Brian Earl,Cornell,Ivy,,22,8,.733,,,,,2016-17,96,103,.482,,,,,,96,103,.482,,,,
Dan Earl,Chattanooga,Southern,,21,12,.636,,,,,2022-23,39,29,.574,,,,,,112,168,.400,,,,
Josh Eilert,West Virginia,Big 12,,9,23,.281,,,,,2023-24,9,23,.281,,,,,,9,23,.281,,,,
Cliff Ellis,Coastal Carolina,Sun Belt,,3,5,.375,,,,,2007-08,297,228,.566,2,,,,,833,566,.595,10,3,,
Andy Enfield,USC,Pac-12,,15,18,.455,21,,,,2013-14,220,147,.599,5,1,,,,261,175,.599,6,2,,
Dan Engelstad,Mount St. Mary's,MAAC,,13,19,.406,,,,,2018-19,72,109,.398,1,,,,,72,109,.398,1,,,
Jim Engles,Columbia,Ivy,,13,14,.481,,,,,2016-17,59,135,.304,,,,,,170,274,.383,,,,
Kim English,Providence,Big East,,21,14,.600,,,,,2023-24,21,14,.600,,,,,,55,43,.561,,,,
Aaron Fearne,Charlotte,AAC,,19,12,.613,,,,,2023-24,19,12,.613,,,,,,19,12,.613,,,,
Quinton Ferrell,Presbyterian,Big South,,14,19,.424,,,,,2019-20,48,103,.318,,,,,,48,103,.318,,,,
Jim Ferry,UMBC,AEC,,11,21,.344,,,,,2021-22,47,49,.490,,,,,,268,309,.464,2,,,
Mark Few,Gonzaga,WCC,,27,8,.771,11,15,Lost Regional Semifinal,,1999-00,716,143,.834,24,13,2,,,716,143,.834,24,13,2,
Matt Figger,Texas-Rio Grande Valley,WAC,,6,25,.194,,,,,2021-22,29,65,.309,,,,,,105,116,.475,,,,
Dane Fischer,William & Mary,CAA,,10,23,.303,,,,,2019-20,56,91,.381,,,,,,56,91,.381,,,,
Adam Fisher,Temple,AAC,,16,20,.444,,,,,2023-24,16,20,.444,,,,,,16,20,.444,,,,
Steve Forbes,Wake Forest,ACC,,21,14,.600,,,,,2020-21,71,54,.568,,,,,,201,97,.674,1,,,
Dana Ford,Missouri State,MVC,,17,16,.515,,,,,2018-19,106,82,.564,,,,,,163,147,.526,,,,
Geno Ford,Stony Brook,CAA,,20,15,.571,,,,,2019-20,78,77,.503,,,,,,192,200,.490,,,,
Travis Ford,Saint Louis,A-10,,13,20,.394,,,,,2016-17,146,109,.573,1,,,,,424,335,.559,7,,,
John Gallagher,Manhattan,MAAC,,7,23,.233,,,,,2023-24,7,23,.233,,,,,,176,230,.433,1,,,
Joe Gallo,Merrimack,NEC,,21,12,.636,,,,,2019-20,82,64,.562,,,,,,82,64,.562,,,,
Eran Ganot,Hawaii,Big West,,20,14,.588,,,,,2015-16,156,102,.605,1,,,,,159,104,.605,1,,,
Greg Gard,Wisconsin,Big Ten,,22,14,.611,,,Lost First Round,,2015-16,186,107,.635,6,2,,,,186,107,.635,6,2,,
Greg Gary,Mercer,Southern,,16,17,.485,,,,,2019-20,81,79,.506,,,,,,97,123,.441,,,,
Dennis Gates,Missouri,SEC,,8,24,.250,,,,,2022-23,33,34,.493,1,,,,,83,74,.529,2,,,
Kyle Gerdeman,Lindenwood,OVC,,9,22,.290,,,,,2022-23,20,43,.317,,,,,,20,43,.317,,,,
Chris Gerlufsen,San Francisco,WCC,,23,11,.676,,,,,2022-23,43,25,.632,,,,,,51,30,.630,,,,
Gerald Gillion,Chicago State,Ind,,13,19,.406,,,,,2021-22,31,64,.326,,,,,,31,64,.326,,,,
Billy Gillispie,Tarleton State,WAC,,25,10,.714,,,,,2020-21,66,54,.550,,,,,,214,162,.569,4,1,,
Corey Gipson,Austin Peay,A-Sun,,19,16,.543,,,,,2023-24,19,16,.543,,,,,,41,27,.603,,,,
Todd Golden,Florida,SEC,,24,12,.667,,,Lost First Round,,2022-23,40,29,.580,1,,,,,97,65,.599,2,,,
Joe Golding,UTEP,CUSA,,18,16,.529,,,,,2021-22,52,48,.520,,,,,,186,162,.534,2,,,
Stan Gouard,Southern Indiana,OVC,,8,24,.250,,,,,2022-23,24,41,.369,,,,,,24,41,.369,,,,
Anthony Grant,Dayton,A-10,,25,8,.758,,25,Lost Second Round,,2017-18,149,72,.674,1,,,,,342,182,.653,4,,,
Earl Grant,Boston College,ACC,,20,16,.556,,,,,2021-22,49,53,.480,,,,,,176,142,.553,1,,,
Jared Grasso,Bryant,AEC,,20,13,.606,,,,,2018-19,99,80,.553,1,,,,,100,102,.495,1,,,
