School,Conf,Pre,11/14,11/21,11/28,12/5,12/12,12/19,12/26,1/2,1/9,1/16,1/23,1/30,2/6,2/13,2/20,2/27,3/6,Final
Alabama,SEC,20,18,18,11,8,4,9,8,7,4,4,2,4,3,1,2,2,4,1
Arizona,Pac-12,17,14,14,4,10,9,5,5,5,9,11,6,5,4,8,7,8,8,8
Arizona State,Pac-12,,,,,,,25,,,,,,,,,,,,
Arkansas,SEC,10,9,9,11,9,10,10,9,13,15,25,,,,,,,,
Auburn,SEC,15,13,13,15,11,19,23,20,22,21,16,15,25,,,,,,
Baylor,Big 12,5,5,7,6,12,11,12,12,19,,21,17,11,14,9,9,7,10,11
Clemson,ACC,,,,,,,,,,,19,24,20,,,,,,
College of Charleston,CAA,,,,,,,,,23,22,18,18,,,,,,,
Creighton,Big East,9,10,10,7,21,,,,,,,,,23,18,19,,24,
Dayton,A-10,24,21,,,,,,,,,,,,,,,,,
Duke,ACC,7,7,8,17,15,12,14,17,16,24,,,,,,,,21,12
Florida Atlantic,CUSA,,,,,,,,,,,24,21,19,,25,,,,25
Gonzaga,WCC,2,2,6,14,18,15,11,10,9,8,6,14,12,16,13,12,10,9,9
Houston,AAC,3,3,2,1,1,5,3,3,2,1,1,3,3,2,2,1,1,1,2
Illinois,Big Ten,23,19,16,16,17,18,16,,,,,,,,,,,,
Indiana,Big Ten,13,12,11,10,14,14,18,16,15,,,,21,18,14,17,15,19,21
Iowa,Big Ten,,,25,,,,,,,,,,,,,,,,
Iowa State,Big 12,,,,23,20,,,,25,14,12,12,13,11,19,23,,,
Kansas,Big 12,5,6,3,9,6,8,4,4,3,2,2,9,8,9,5,3,3,3,4
Kansas State,Big 12,,,,,,,,,,11,13,5,7,12,12,14,11,12,15
Kentucky,SEC,4,4,15,19,16,13,19,19,,,,,,,,,23,23,
Marquette,Big East,,,,,,,24,,,25,20,16,14,10,11,10,6,6,6
Maryland,Big Ten,,,23,22,13,20,,,,,,,,,,,21,,
Memphis,AAC,,,,,,,,,,,,,,,,,,,24
Miami (FL),ACC,,,,,,25,22,14,12,16,17,20,23,19,15,13,16,14,16
Michigan,Big Ten,22,20,,,,,,,,,,,,,,,,,
Michigan State,Big Ten,,,12,20,,,,,,,,,,,,,,,
Mississippi State,SEC,,,,,23,17,15,21,,,,,,,,,,,
Missouri,SEC,,,,,,,,,20,20,,,,,,,,25,23
NC State,ACC,,,,,,,,,,,,,,22,23,,,,
New Mexico,MWC,,,,,,,,22,21,,,25,,,,,,,
Northwestern,Big Ten,,,,,,,,,,,,,,,,21,,,
Ohio State,Big Ten,,,,25,25,23,,,24,,,,,,,,,,
Oregon,Pac-12,21,,,,,,,,,,,,,,,,,,
Pitt,ACC,,,,,,,,,,,,,,,,,25,,
Providence,Big East,,,,,,,,,,19,22,23,17,20,24,20,20,,
Purdue,Big Ten,,,24,5,4,1,1,1,1,3,3,1,1,1,3,5,5,5,3
Rutgers,Big Ten,,,,,,,,,,,23,,,24,,,,,
Saint Mary's,WCC,,,,,,,,,,,,22,18,15,17,15,17,16,19
San Diego State,MWC,19,17,17,24,22,,,,,23,,,22,25,21,22,18,20,18
TCU,Big 12,14,15,,,24,21,20,18,17,17,14,11,15,17,22,24,22,22,22
Tennessee,SEC,11,22,22,13,7,6,8,7,8,5,9,4,2,6,10,11,12,17,20
Texas,Big 12,12,11,4,2,2,7,7,6,6,10,7,10,10,5,6,8,9,7,5
Texas A&M,SEC,,24,,,,,,,,,,,,,,25,24,18,17
Texas Tech,Big 12,25,23,21,,,,,,,,,,,,,,,,
UCLA,Pac-12,8,8,19,21,19,16,13,11,10,7,5,8,9,7,4,4,4,2,7
UConn,Big East,,25,20,8,5,3,2,2,4,6,15,19,24,21,20,18,14,11,10
UNC,ACC,1,1,1,18,,,,25,,,,,,,,,,,
Villanova,Big East,16,,,,,,,,,,,,,,,,,,
Virginia,ACC,18,16,5,3,3,2,6,13,11,13,10,7,6,8,7,6,13,13,14
Virginia Tech,ACC,,,,,,24,21,,,,,,,,,,,,
West Virginia,Big 12,,,,,,,,24,,,,,,,,,,,
Wisconsin,Big Ten,,,,,,22,17,15,14,18,,,,,,,,,
Xavier,Big East,,,,,,,,22,18,12,8,13,16,13,16,16,19,15,13
