Coach,School,Conference,,W,L,W-L%,AP Pre,AP Post,NCAA Tournament,,Since,W,L,W-L%,NCAA,S16,FF,Chmp,,W,L,W-L%,NCAA,S16,FF,Chmp
Amir Abdur-Rahim,Kennesaw State,A-Sun,,26,9,.743,,,Lost First Round,,2019-20,45,74,.378,1,,,,,45,74,.378,1,,,
Lennie Acuff,Lipscomb,A-Sun,,20,13,.606,,,,,2019-20,65,60,.520,,,,,,65,60,.520,,,,
Mark Adams,Texas Tech,Big 12,,16,15,.516,25,,,,2021-22,43,25,.632,1,1,,,,87,115,.431,1,1,,
John Aiken,McNeese State,Southland,,11,23,.324,,,,,2021-22,22,45,.328,,,,,,22,45,.328,,,,
Griff Aldrich,Longwood,Big South,,20,12,.625,,,,,2018-19,88,72,.550,1,,,,,88,72,.550,1,,,
Casey Alexander,Belmont,MVC,,21,11,.656,,,,,2019-20,98,30,.766,,,,,,235,150,.610,1,,,
Steve Alford,Nevada,MWC,,22,11,.667,,,Lost First Four,,2019-20,70,51,.579,1,,,,,579,320,.644,12,4,,
Jimmy Allen,Army,Patriot,,17,16,.515,,,,,2016-17,98,112,.467,,,,,,98,112,.467,,,,
Dana Altman,Oregon,Pac-12,,21,15,.583,21,,,,2010-11,321,140,.696,7,5,1,,,731,383,.656,15,5,1,
Tommy Amaker,Harvard,Ivy,,14,14,.500,,,,,2007-08,278,166,.626,4,,,,,454,305,.598,5,1,,
Mike Anderson Sr,St. John's (NY),Big East,,18,15,.545,,,,,2019-20,68,56,.548,,,,,,437,256,.631,9,2,,
Tobin Anderson,FDU,NEC,,21,16,.568,,,Lost Second Round,,2022-23,21,16,.568,1,,,,,21,16,.568,1,,,
Kevin Baggett,Rider,MAAC,,16,14,.533,,,,,2012-13,177,166,.516,,,,,,177,166,.516,,,,
Mike Balado,Arkansas State,Sun Belt,,13,20,.394,,,,,2017-18,82,100,.451,,,,,,82,100,.451,,,,
Jeremy Ballard,Florida International,CUSA,,14,18,.438,,,,,2018-19,77,79,.494,,,,,,77,79,.494,,,,
Tony Barbee,Central Michigan,MAC,,10,21,.323,,,,,2021-22,17,44,.279,,,,,,148,171,.464,1,,,
Rick Barnes,Tennessee,SEC,,25,11,.694,11,20,Lost Regional Semifinal,,2015-16,175,92,.655,5,2,,,,779,406,.657,27,8,1,
Rod Barnes,Cal State Bakersfield,Big West,,11,22,.333,,,,,2011-12,183,193,.487,1,,,,,369,382,.491,4,1,,
Brian Barone,SIU-Edwardsville,OVC,,19,14,.576,,,,,2019-20,47,75,.385,,,,,,47,75,.385,,,,
Chris Beard,Texas,Big 12,,7,1,.875,12,5,Lost Regional Final,,2021-22,29,13,.690,2,1,,,,171,73,.701,6,3,1,
John Becker,Vermont,AEC,,23,11,.676,,,Lost First Round,,2011-12,280,113,.712,5,,,,,280,113,.712,5,,,
Randy Bennett,Saint Mary's,WCC,,27,8,.771,,19,Lost Second Round,,2001-02,507,208,.709,9,1,,,,507,208,.709,9,1,,
Tony Bennett,Virginia,ACC,,25,8,.758,18,14,Lost First Round,,2009-10,341,125,.732,9,3,1,1,,410,158,.722,11,4,1,1
Kenneth Blakeney,Howard,MEAC,,22,13,.629,,,Lost First Round,,2019-20,43,59,.422,1,,,,,43,59,.422,1,,,
Jeff Boals,Ohio,MAC,,19,14,.576,,,,,2019-20,78,47,.624,1,,,,,133,89,.599,1,,,
Jim Boeheim *,Syracuse,ACC,,17,15,.531,,,,,1976-77,1116,441,.717,35,20,5,1,,1116,441,.717,35,20,5,1
Anthony Boone,Central Arkansas,A-Sun,,9,22,.290,,,,,2019-20,34,73,.318,,,,,,34,73,.318,,,,
Tad Boyle,Colorado,Pac-12,,18,17,.514,,,,,2010-11,272,172,.613,5,,,,,328,238,.580,5,,,
