Rk,Team,Seed,Date,PTS,,Opp,Opp Seed,Result,Round,Region,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
1,Alabama,4,2024-03-22 NCAA,109,N,College of Charleston,13,W 109-96,Rnd of 64,West,200,36,60,.600,23,37,.622,13,23,.565,24,37,.649,109,32,78,.410,22,45,.489,10,33,.303,22,29,.759,96
2,Purdue,1,2024-03-24 NCAA,106,N,Utah State,8,W 106-67,Rnd of 32,Midwest,200,38,68,.559,27,45,.600,11,23,.478,19,23,.826,106,23,64,.359,14,37,.378,9,27,.333,12,16,.750,67
3,Colorado,10,2024-03-22 NCAA,102,N,Florida,7,W 102-100,Rnd of 64,South,200,34,54,.630,28,44,.636,6,10,.600,28,33,.848,102,35,68,.515,24,43,.558,11,25,.440,19,22,.864,100
4,Houston,1,2024-03-24 NCAA,100,N,Texas A&M,9,W 100-95 (OT),Rnd of 32,South,225,34,66,.515,23,32,.719,11,34,.324,21,30,.700,100,29,75,.387,21,52,.404,8,23,.348,29,45,.644,95
5,Florida,7,2024-03-22 NCAA,100,N,Colorado,10,L 100-102,Rnd of 64,South,200,35,68,.515,24,43,.558,11,25,.440,19,22,.864,100,34,54,.630,28,44,.636,6,10,.600,28,33,.848,102
6,Texas A&M,9,2024-03-22 NCAA,98,N,Nebraska,8,W 98-83,Rnd of 64,South,200,35,71,.493,22,48,.458,13,23,.565,15,20,.750,98,27,59,.458,20,37,.541,7,22,.318,22,24,.917,83
7,College of Charleston,13,2024-03-22 NCAA,96,N,Alabama,4,L 96-109,Rnd of 64,West,200,32,78,.410,22,45,.489,10,33,.303,22,29,.759,96,36,60,.600,23,37,.622,13,23,.565,24,37,.649,109
8,Texas A&M,9,2024-03-24 NCAA,95,N,Houston,1,L 95-100 (OT),Rnd of 32,South,225,29,75,.387,21,52,.404,8,23,.348,29,45,.644,95,34,66,.515,23,32,.719,11,34,.324,21,30,.700,100
9,Duke,4,2024-03-24 NCAA,93,N,James Madison,12,W 93-55,Rnd of 32,South,200,33,63,.524,19,35,.543,14,28,.500,13,18,.722,93,19,50,.380,15,32,.469,4,18,.222,13,23,.565,55
10,Kansas,4,2024-03-21 NCAA,93,N,Samford,13,W 93-89,Rnd of 64,Midwest,200,35,58,.603,29,40,.725,6,18,.333,17,27,.630,93,30,73,.411,14,36,.389,16,37,.432,13,23,.565,89
11,Baylor,3,2024-03-22 NCAA,92,N,Colgate,14,W 92-67,Rnd of 64,West,200,33,57,.579,17,27,.630,16,30,.533,10,14,.714,92,26,57,.456,21,39,.538,5,18,.278,10,14,.714,67
12,Connecticut,1,2024-03-22 NCAA,91,N,Stetson,16,W 91-52,Rnd of 64,East,200,37,70,.529,28,46,.609,9,24,.375,8,10,.800,91,17,55,.309,14,35,.400,3,20,.150,15,20,.750,52
13,North Carolina,1,2024-03-21 NCAA,90,N,Wagner,16,W 90-62,Rnd of 64,West,200,33,60,.550,24,42,.571,9,18,.500,15,19,.789,90,23,58,.397,16,40,.400,7,18,.389,9,15,.600,62
14,Illinois,3,2024-03-23 NCAA,89,N,Duquesne,11,W 89-63,Rnd of 32,East,200,35,59,.593,28,38,.737,7,21,.333,12,17,.706,89,25,61,.410,20,44,.455,5,17,.294,8,10,.800,63
15,Gonzaga,5,2024-03-23 NCAA,89,N,Kansas,4,W 89-68,Rnd of 32,Midwest,200,35,58,.603,27,43,.628,8,15,.533,11,15,.733,89,27,70,.386,18,48,.375,9,22,.409,5,9,.556,68
16,Samford,13,2024-03-21 NCAA,89,N,Kansas,4,L 89-93,Rnd of 64,Midwest,200,30,73,.411,14,36,.389,16,37,.432,13,23,.565,89,35,58,.603,29,40,.725,6,18,.333,17,27,.630,93
17,Utah State,8,2024-03-22 NCAA,88,N,TCU,9,W 88-72,Rnd of 64,Midwest,200,33,60,.550,25,41,.610,8,19,.421,14,15,.933,88,24,67,.358,17,45,.378,7,22,.318,17,22,.773,72
18,Grambling State,16,2024-03-20 NCAA,88,N,Montana State,16,W 88-81 (OT),First 4,Midwest,225,33,66,.500,29,56,.518,4,10,.400,18,23,.783,88,30,58,.517,17,28,.607,13,30,.433,8,15,.533,81
19,Marquette,2,2024-03-22 NCAA,87,N,Western Kentucky,15,W 87-69,Rnd of 64,South,200,33,69,.478,20,33,.606,13,36,.361,8,15,.533,87,28,69,.406,20,45,.444,8,24,.333,5,6,.833,69
20,Oregon,11,2024-03-21 NCAA,87,N,South Carolina,6,W 87-73,Rnd of 64,Midwest,200,28,47,.596,21,31,.677,7,16,.438,24,30,.800,87,25,56,.446,14,32,.438,11,24,.458,12,19,.632,73
21,Creighton,3,2024-03-23 NCAA,86,N,Oregon,11,W 86-73 (2OT),Rnd of 32,Midwest,250,29,75,.387,14,36,.389,15,39,.385,13,14,.929,86,31,77,.403,24,56,.429,7,21,.333,4,5,.800,73
22,Houston,1,2024-03-22 NCAA,86,N,Longwood,16,W 86-46,Rnd of 64,South,200,31,53,.585,20,30,.667,11,23,.478,13,22,.591,86,14,41,.341,11,28,.393,3,13,.231,15,16,.938,46
23,Gonzaga,5,2024-03-21 NCAA,86,N,McNeese State,12,W 86-65,Rnd of 64,Midwest,200,31,60,.517,21,39,.538,10,21,.476,14,18,.778,86,23,69,.333,18,47,.383,5,22,.227,14,19,.737,65
24,San Diego State,5,2024-03-24 NCAA,85,N,Yale,13,W 85-57,Rnd of 32,East,200,29,55,.527,16,28,.571,13,27,.481,14,17,.824,85,20,54,.370,13,35,.371,7,19,.368,10,14,.714,57
25,North Carolina,1,2024-03-23 NCAA,85,N,Michigan State,9,W 85-69,Rnd of 32,West,200,28,60,.467,18,34,.529,10,26,.385,19,23,.826,85,26,59,.441,20,43,.465,6,16,.375,11,15,.733,69
26,Illinois,3,2024-03-21 NCAA,85,N,Morehead State,14,W 85-69,Rnd of 64,East,199,32,59,.542,20,33,.606,12,26,.462,9,12,.750,85,26,65,.400,15,35,.429,11,30,.367,6,8,.750,69
27,Arizona,2,2024-03-21 NCAA,85,N,Long Beach State,15,W 85-65,Rnd of 64,West,200,30,72,.417,17,37,.459,13,35,.371,12,17,.706,85,24,72,.333,21,55,.382,3,17,.176,14,22,.636,65
28,Nebraska,8,2024-03-22 NCAA,83,N,Texas A&M,9,L 83-98,Rnd of 64,South,200,27,59,.458,20,37,.541,7,22,.318,22,24,.917,83,35,71,.493,22,48,.458,13,23,.565,15,20,.750,98
29,Tennessee,2,2024-03-21 NCAA,83,N,Saint Peter's,15,W 83-49,Rnd of 64,Midwest,200,27,53,.509,16,29,.552,11,24,.458,18,25,.720,83,16,55,.291,12,31,.387,4,24,.167,13,19,.684,49
30,Iowa State,2,2024-03-21 NCAA,82,N,South Dakota State,15,W 82-65,Rnd of 64,East,200,33,57,.579,22,34,.647,11,23,.478,5,8,.625,82,23,53,.434,13,29,.448,10,24,.417,9,11,.818,65
31,Marquette,2,2024-03-24 NCAA,81,N,Colorado,10,W 81-77,Rnd of 32,South,200,34,55,.618,25,34,.735,9,21,.429,4,8,.500,81,31,66,.470,21,36,.583,10,30,.333,5,7,.714,77
32,Montana State,16,2024-03-20 NCAA,81,N,Grambling State,16,L 81-88 (OT),First 4,Midwest,225,30,58,.517,17,28,.607,13,30,.433,8,15,.533,81,33,66,.500,29,56,.518,4,10,.400,18,23,.783,88
33,NC State,11,2024-03-21 NCAA,80,N,Texas Tech,6,W 80-67,Rnd of 64,South,200,27,53,.509,22,40,.550,5,13,.385,21,26,.808,80,24,62,.387,17,31,.548,7,31,.226,12,14,.857,67
34,Oakland,14,2024-03-21 NCAA,80,N,Kentucky,3,W 80-76,Rnd of 64,South,200,26,63,.413,11,32,.344,15,31,.484,13,23,.565,80,26,61,.426,17,33,.515,9,28,.321,15,20,.750,76
35,NC State,11,2024-03-23 NCAA,79,N,Oakland,14,W 79-73 (OT),Rnd of 32,South,225,29,64,.453,20,38,.526,9,26,.346,12,16,.750,79,25,68,.368,13,33,.394,12,35,.343,11,15,.733,73
36,Arizona,2,2024-03-23 NCAA,78,N,Dayton,7,W 78-68,Rnd of 32,West,200,28,53,.528,20,35,.571,8,18,.444,14,20,.700,78,24,59,.407,17,35,.486,7,24,.292,13,15,.867,68
37,Purdue,1,2024-03-22 NCAA,78,N,Grambling State,16,W 78-50,Rnd of 64,Midwest,200,28,59,.475,19,35,.543,9,24,.375,13,22,.591,78,20,55,.364,17,43,.395,3,12,.250,7,10,.700,50
38,Yale,13,2024-03-22 NCAA,78,N,Auburn,4,W 78-76,Rnd of 64,East,200,24,52,.462,15,32,.469,9,20,.450,21,31,.677,78,27,53,.509,20,33,.606,7,20,.350,15,22,.682,76
39,Colorado,10,2024-03-24 NCAA,77,N,Marquette,2,L 77-81,Rnd of 32,South,200,31,66,.470,21,36,.583,10,30,.333,5,7,.714,77,34,55,.618,25,34,.735,9,21,.429,4,8,.500,81
40,Clemson,6,2024-03-22 NCAA,77,N,New Mexico,11,W 77-56,Rnd of 64,West,200,28,63,.444,21,42,.500,7,21,.333,14,19,.737,77,19,64,.297,16,41,.390,3,23,.130,15,23,.652,56
41,Northwestern,9,2024-03-22 NCAA,77,N,Florida Atlantic,8,W 77-65 (OT),Rnd of 64,East,225,29,69,.420,21,46,.457,8,23,.348,11,15,.733,77,22,57,.386,17,30,.567,5,27,.185,16,21,.762,65
42,Creighton,3,2024-03-21 NCAA,77,N,Akron,14,W 77-60,Rnd of 64,Midwest,200,26,46,.565,16,29,.552,10,17,.588,15,20,.750,77,25,66,.379,19,38,.500,6,28,.214,4,6,.667,60
43,Auburn,4,2024-03-22 NCAA,76,N,Yale,13,L 76-78,Rnd of 64,East,200,27,53,.509,20,33,.606,7,20,.350,15,22,.682,76,24,52,.462,15,32,.469,9,20,.450,21,31,.677,78
44,Kentucky,3,2024-03-21 NCAA,76,N,Oakland,14,L 76-80,Rnd of 64,South,200,26,61,.426,17,33,.515,9,28,.321,15,20,.750,76,26,63,.413,11,32,.344,15,31,.484,13,23,.565,80
45,Connecticut,1,2024-03-24 NCAA,75,N,Northwestern,9,W 75-58,Rnd of 32,East,200,29,54,.537,26,32,.813,3,22,.136,14,20,.700,75,22,59,.373,18,44,.409,4,15,.267,10,10,1.000,58
46,Grand Canyon,12,2024-03-22 NCAA,75,N,St. Mary's (CA),5,W 75-66,Rnd of 64,West,200,21,49,.429,16,31,.516,5,18,.278,28,36,.778,75,26,67,.388,19,42,.452,7,25,.280,7,12,.583,66
47,Oakland,14,2024-03-23 NCAA,73,N,NC State,11,L 73-79 (OT),Rnd of 32,South,225,25,68,.368,13,33,.394,12,35,.343,11,15,.733,73,29,64,.453,20,38,.526,9,26,.346,12,16,.750,79
48,Oregon,11,2024-03-23 NCAA,73,N,Creighton,3,L 73-86 (2OT),Rnd of 32,Midwest,242,31,77,.403,24,56,.429,7,21,.333,4,5,.800,73,29,75,.387,14,36,.389,15,39,.385,13,14,.929,86
49,South Carolina,6,2024-03-21 NCAA,73,N,Oregon,11,L 73-87,Rnd of 64,Midwest,200,25,56,.446,14,32,.438,11,24,.458,12,19,.632,73,28,47,.596,21,31,.677,7,16,.438,24,30,.800,87
50,Clemson,6,2024-03-24 NCAA,72,N,Baylor,3,W 72-64,Rnd of 32,West,200,23,47,.489,17,30,.567,6,17,.353,20,24,.833,72,21,54,.389,15,30,.500,6,24,.250,16,26,.615,64
51,Alabama,4,2024-03-24 NCAA,72,N,Grand Canyon,12,W 72-61,Rnd of 32,West,200,24,65,.369,16,34,.471,8,31,.258,16,22,.727,72,18,56,.321,16,36,.444,2,20,.100,23,37,.622,61
52,TCU,9,2024-03-22 NCAA,72,N,Utah State,8,L 72-88,Rnd of 64,Midwest,200,24,67,.358,17,45,.378,7,22,.318,17,22,.773,72,33,60,.550,25,41,.610,8,19,.421,14,15,.933,88
53,James Madison,12,2024-03-22 NCAA,72,N,Wisconsin,5,W 72-61,Rnd of 64,South,200,23,56,.411,18,39,.462,5,17,.294,21,30,.700,72,19,51,.373,11,30,.367,8,21,.381,15,23,.652,61
54,Duquesne,11,2024-03-21 NCAA,71,N,Brigham Young,6,W 71-67,Rnd of 64,East,200,26,56,.464,19,38,.500,7,18,.389,12,16,.750,71,22,57,.386,14,33,.424,8,24,.333,15,17,.882,67
55,Wagner,16,2024-03-19 NCAA,71,N,Howard,16,W 71-68,First 4,West,200,29,55,.527,21,38,.553,8,17,.471,5,9,.556,71,22,57,.386,15,33,.455,7,24,.292,17,21,.810,68
56,Michigan State,9,2024-03-23 NCAA,69,N,North Carolina,1,L 69-85,Rnd of 32,West,199,26,59,.441,20,43,.465,6,16,.375,11,15,.733,69,28,60,.467,18,34,.529,10,26,.385,19,23,.826,85
57,Western Kentucky,15,2024-03-22 NCAA,69,N,Marquette,2,L 69-87,Rnd of 64,South,200,28,69,.406,20,45,.444,8,24,.333,5,6,.833,69,33,69,.478,20,33,.606,13,36,.361,8,15,.533,87
58,San Diego State,5,2024-03-22 NCAA,69,N,UAB,12,W 69-65,Rnd of 64,East,200,24,55,.436,19,37,.514,5,18,.278,16,20,.800,69,20,53,.377,13,33,.394,7,20,.350,18,24,.750,65
59,Michigan State,9,2024-03-21 NCAA,69,N,Mississippi State,8,W 69-51,Rnd of 64,West,200,27,54,.500,17,31,.548,10,23,.435,5,6,.833,69,20,54,.370,14,27,.519,6,27,.222,5,10,.500,51
60,Morehead State,14,2024-03-21 NCAA,69,N,Illinois,3,L 69-85,Rnd of 64,East,200,26,65,.400,15,35,.429,11,30,.367,6,8,.750,69,32,59,.542,20,33,.606,12,26,.462,9,12,.750,85
61,Dayton,7,2024-03-23 NCAA,68,N,Arizona,2,L 68-78,Rnd of 32,West,200,24,59,.407,17,35,.486,7,24,.292,13,15,.867,68,28,53,.528,20,35,.571,8,18,.444,14,20,.700,78
62,Kansas,4,2024-03-23 NCAA,68,N,Gonzaga,5,L 68-89,Rnd of 32,Midwest,200,27,70,.386,18,48,.375,9,22,.409,5,9,.556,68,35,58,.603,27,43,.628,8,15,.533,11,15,.733,89
63,Howard,16,2024-03-19 NCAA,68,N,Wagner,16,L 68-71,First 4,West,200,22,57,.386,15,33,.455,7,24,.292,17,21,.810,68,29,55,.527,21,38,.553,8,17,.471,5,9,.556,71
64,Utah State,8,2024-03-24 NCAA,67,N,Purdue,1,L 67-106,Rnd of 32,Midwest,200,23,64,.359,14,37,.378,9,27,.333,12,16,.750,67,38,68,.559,27,45,.600,11,23,.478,19,23,.826,106
65,Iowa State,2,2024-03-23 NCAA,67,N,Washington State,7,W 67-56,Rnd of 32,East,200,23,57,.404,16,43,.372,7,14,.500,14,17,.824,67,22,51,.431,17,28,.607,5,23,.217,7,9,.778,56
66,Colgate,14,2024-03-22 NCAA,67,N,Baylor,3,L 67-92,Rnd of 64,West,200,26,57,.456,21,39,.538,5,18,.278,10,14,.714,67,33,57,.579,17,27,.630,16,30,.533,10,14,.714,92
67,Brigham Young,6,2024-03-21 NCAA,67,N,Duquesne,11,L 67-71,Rnd of 64,East,200,22,57,.386,14,33,.424,8,24,.333,15,17,.882,67,26,56,.464,19,38,.500,7,18,.389,12,16,.750,71
68,Texas Tech,6,2024-03-21 NCAA,67,N,NC State,11,L 67-80,Rnd of 64,South,200,24,62,.387,17,31,.548,7,31,.226,12,14,.857,67,27,53,.509,22,40,.550,5,13,.385,21,26,.808,80
69,Colorado State,10,2024-03-19 NCAA,67,N,Virginia,10,W 67-42,First 4,Midwest,200,26,47,.553,21,33,.636,5,14,.357,10,14,.714,67,14,56,.250,11,39,.282,3,17,.176,11,17,.647,42
70,St. Mary's (CA),5,2024-03-22 NCAA,66,N,Grand Canyon,12,L 66-75,Rnd of 64,West,199,26,67,.388,19,42,.452,7,25,.280,7,12,.583,66,21,49,.429,16,31,.516,5,18,.278,28,36,.778,75
71,Washington State,7,2024-03-21 NCAA,66,N,Drake,10,W 66-61,Rnd of 64,East,200,21,55,.382,14,41,.341,7,14,.500,17,22,.773,66,25,59,.424,20,44,.455,5,15,.333,6,14,.429,61
72,UAB,12,2024-03-22 NCAA,65,N,San Diego State,5,L 65-69,Rnd of 64,East,200,20,53,.377,13,33,.394,7,20,.350,18,24,.750,65,24,55,.436,19,37,.514,5,18,.278,16,20,.800,69
73,Florida Atlantic,8,2024-03-22 NCAA,65,N,Northwestern,9,L 65-77 (OT),Rnd of 64,East,225,22,57,.386,17,30,.567,5,27,.185,16,21,.762,65,29,69,.420,21,46,.457,8,23,.348,11,15,.733,77
74,Long Beach State,15,2024-03-21 NCAA,65,N,Arizona,2,L 65-85,Rnd of 64,West,200,24,72,.333,21,55,.382,3,17,.176,14,22,.636,65,30,72,.417,17,37,.459,13,35,.371,12,17,.706,85
75,McNeese State,12,2024-03-21 NCAA,65,N,Gonzaga,5,L 65-86,Rnd of 64,Midwest,200,23,69,.333,18,47,.383,5,22,.227,14,19,.737,65,31,60,.517,21,39,.538,10,21,.476,14,18,.778,86
76,South Dakota State,15,2024-03-21 NCAA,65,N,Iowa State,2,L 65-82,Rnd of 64,East,200,23,53,.434,13,29,.448,10,24,.417,9,11,.818,65,33,57,.579,22,34,.647,11,23,.478,5,8,.625,82
77,Baylor,3,2024-03-24 NCAA,64,N,Clemson,6,L 64-72,Rnd of 32,West,200,21,54,.389,15,30,.500,6,24,.250,16,26,.615,64,23,47,.489,17,30,.567,6,17,.353,20,24,.833,72
78,Duke,4,2024-03-22 NCAA,64,N,Vermont,13,W 64-47,Rnd of 64,South,200,19,45,.422,13,27,.481,6,18,.333,20,29,.690,64,20,52,.385,15,32,.469,5,20,.250,2,6,.333,47
79,Duquesne,11,2024-03-23 NCAA,63,N,Illinois,3,L 63-89,Rnd of 32,East,200,25,61,.410,20,44,.455,5,17,.294,8,10,.800,63,35,59,.593,28,38,.737,7,21,.333,12,17,.706,89
80,Dayton,7,2024-03-21 NCAA,63,N,Nevada,10,W 63-60,Rnd of 64,West,200,21,46,.457,13,27,.481,8,19,.421,13,15,.867,63,25,58,.431,18,36,.500,7,22,.318,3,6,.500,60
81,Tennessee,2,2024-03-23 NCAA,62,N,Texas,7,W 62-58,Rnd of 32,Midwest,199,22,65,.338,19,40,.475,3,25,.120,15,18,.833,62,20,55,.364,13,32,.406,7,23,.304,11,12,.917,58
82,Wagner,16,2024-03-21 NCAA,62,N,North Carolina,1,L 62-90,Rnd of 64,West,200,23,58,.397,16,40,.400,7,18,.389,9,15,.600,62,33,60,.550,24,42,.571,9,18,.500,15,19,.789,90
83,Grand Canyon,12,2024-03-24 NCAA,61,N,Alabama,4,L 61-72,Rnd of 32,West,200,18,56,.321,16,36,.444,2,20,.100,23,37,.622,61,24,65,.369,16,34,.471,8,31,.258,16,22,.727,72
84,Wisconsin,5,2024-03-22 NCAA,61,N,James Madison,12,L 61-72,Rnd of 64,South,200,19,51,.373,11,30,.367,8,21,.381,15,23,.652,61,23,56,.411,18,39,.462,5,17,.294,21,30,.700,72
85,Drake,10,2024-03-21 NCAA,61,N,Washington State,7,L 61-66,Rnd of 64,East,200,25,59,.424,20,44,.455,5,15,.333,6,14,.429,61,21,55,.382,14,41,.341,7,14,.500,17,22,.773,66
86,Akron,14,2024-03-21 NCAA,60,N,Creighton,3,L 60-77,Rnd of 64,Midwest,200,25,66,.379,19,38,.500,6,28,.214,4,6,.667,60,26,46,.565,16,29,.552,10,17,.588,15,20,.750,77
87,Nevada,10,2024-03-21 NCAA,60,N,Dayton,7,L 60-63,Rnd of 64,West,200,25,58,.431,18,36,.500,7,22,.318,3,6,.500,60,21,46,.457,13,27,.481,8,19,.421,13,15,.867,63
88,Colorado,10,2024-03-20 NCAA,60,N,Boise State,10,W 60-53,First 4,South,200,21,48,.438,17,33,.515,4,15,.267,14,15,.933,60,23,67,.343,21,49,.429,2,18,.111,5,6,.833,53
89,Northwestern,9,2024-03-24 NCAA,58,N,Connecticut,1,L 58-75,Rnd of 32,East,200,22,59,.373,18,44,.409,4,15,.267,10,10,1.000,58,29,54,.537,26,32,.813,3,22,.136,14,20,.700,75
90,Texas,7,2024-03-23 NCAA,58,N,Tennessee,2,L 58-62,Rnd of 32,Midwest,200,20,55,.364,13,32,.406,7,23,.304,11,12,.917,58,22,65,.338,19,40,.475,3,25,.120,15,18,.833,62
91,Yale,13,2024-03-24 NCAA,57,N,San Diego State,5,L 57-85,Rnd of 32,East,200,20,54,.370,13,35,.371,7,19,.368,10,14,.714,57,29,55,.527,16,28,.571,13,27,.481,14,17,.824,85
92,Washington State,7,2024-03-23 NCAA,56,N,Iowa State,2,L 56-67,Rnd of 32,East,200,22,51,.431,17,28,.607,5,23,.217,7,9,.778,56,23,57,.404,16,43,.372,7,14,.500,14,17,.824,67
93,New Mexico,11,2024-03-22 NCAA,56,N,Clemson,6,L 56-77,Rnd of 64,West,200,19,64,.297,16,41,.390,3,23,.130,15,23,.652,56,28,63,.444,21,42,.500,7,21,.333,14,19,.737,77
94,Texas,7,2024-03-21 NCAA,56,N,Colorado State,10,W 56-44,Rnd of 64,Midwest,200,22,55,.400,21,41,.512,1,14,.071,11,17,.647,56,17,58,.293,11,34,.324,6,24,.250,4,6,.667,44
95,James Madison,12,2024-03-24 NCAA,55,N,Duke,4,L 55-93,Rnd of 32,South,199,19,50,.380,15,32,.469,4,18,.222,13,23,.565,55,33,63,.524,19,35,.543,14,28,.500,13,18,.722,93
96,Boise State,10,2024-03-20 NCAA,53,N,Colorado,10,L 53-60,First 4,South,200,23,67,.343,21,49,.429,2,18,.111,5,6,.833,53,21,48,.438,17,33,.515,4,15,.267,14,15,.933,60
97,Stetson,16,2024-03-22 NCAA,52,N,Connecticut,1,L 52-91,Rnd of 64,East,200,17,55,.309,14,35,.400,3,20,.150,15,20,.750,52,37,70,.529,28,46,.609,9,24,.375,8,10,.800,91
