Rk,Team,Seed,Date,PTS,,Opp,Opp Seed,Result,Round,Region,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
1,Alabama,1,2023-03-16 NCAA,96,N,Texas A&M–Corpus Christi,16,W 96-75,Rnd of 64,South,200,33,70,.471,18,37,.486,15,33,.455,15,23,.652,96,26,75,.347,19,55,.345,7,20,.350,16,18,.889,75
2,Kansas,1,2023-03-16 NCAA,96,N,Howard,16,W 96-68,Rnd of 64,West,200,38,73,.521,29,51,.569,9,22,.409,11,13,.846,96,26,67,.388,16,35,.457,10,32,.313,6,10,.600,68
3,Connecticut,4,2023-03-17 NCAA,87,N,Iona,13,W 87-63,Rnd of 64,West,200,32,66,.485,21,41,.512,11,25,.440,12,14,.857,87,22,57,.386,15,41,.366,7,16,.438,12,16,.750,63
4,UCLA,2,2023-03-16 NCAA,86,N,UNC Asheville,15,W 86-53,Rnd of 64,West,200,34,63,.540,29,47,.617,5,16,.313,13,17,.765,86,19,51,.373,13,31,.419,6,20,.300,9,13,.692,53
5,Auburn,9,2023-03-16 NCAA,83,N,Iowa,8,W 83-75,Rnd of 64,Midwest,200,29,63,.460,21,41,.512,8,22,.364,17,22,.773,83,28,68,.412,21,41,.512,7,27,.259,12,17,.706,75
6,Gonzaga,3,2023-03-17 NCAA,82,N,Grand Canyon,14,W 82-70,Rnd of 64,West,200,30,56,.536,23,41,.561,7,15,.467,15,19,.789,82,28,65,.431,19,41,.463,9,24,.375,5,7,.714,70
7,Texas,2,2023-03-16 NCAA,81,N,Colgate,15,W 81-61,Rnd of 64,Midwest,200,31,58,.534,18,35,.514,13,23,.565,6,8,.750,81,25,58,.431,22,43,.512,3,15,.200,8,9,.889,61
8,Marquette,2,2023-03-17 NCAA,78,N,Vermont,15,W 78-61,Rnd of 64,East,200,29,56,.518,19,36,.528,10,20,.500,10,15,.667,78,23,53,.434,15,28,.536,8,25,.320,7,10,.700,61
9,Kansas State,3,2023-03-17 NCAA,77,N,Montana State,14,W 77-65,Rnd of 64,East,200,32,55,.582,28,40,.700,4,15,.267,9,12,.750,77,25,54,.463,19,33,.576,6,21,.286,9,17,.529,65
10,Penn State,10,2023-03-16 NCAA,76,N,Texas A&M,7,W 76-59,Rnd of 64,Midwest,200,27,56,.482,14,34,.412,13,22,.591,9,11,.818,76,20,59,.339,10,25,.400,10,34,.294,9,12,.750,59
