Rk,Team,Seed,Date,PTS,,Opp,Opp Seed,Result,Round,Region,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
1,Kansas State,3,2023-03-23 NCAA,98,N,Michigan State,7,W 98-93 (OT),Rnd of 16,East,225,38,68,.559,27,44,.614,11,24,.458,11,16,.688,98,31,63,.492,18,38,.474,13,25,.520,18,22,.818,93
2,Michigan State,7,2023-03-23 NCAA,93,N,Kansas State,3,L 93-98 (OT),Rnd of 16,East,225,31,63,.492,18,38,.474,13,25,.520,18,22,.818,93,38,68,.559,27,44,.614,11,24,.458,11,16,.688,98
3,Miami (FL),5,2023-03-24 NCAA,89,N,Houston,1,W 89-75,Rnd of 16,Midwest,200,31,60,.517,20,35,.571,11,25,.440,16,19,.842,89,24,64,.375,15,33,.455,9,31,.290,18,20,.900,75
4,Connecticut,4,2023-03-23 NCAA,88,N,Arkansas,8,W 88-65,Rnd of 16,West,200,31,54,.574,22,34,.647,9,20,.450,17,21,.810,88,20,63,.317,15,47,.319,5,16,.313,20,27,.741,65
5,Creighton,6,2023-03-24 NCAA,86,N,Princeton,15,W 86-75,Rnd of 16,South,200,32,55,.582,23,31,.742,9,24,.375,13,16,.813,86,30,65,.462,21,44,.477,9,21,.429,6,10,.600,75
6,Texas,2,2023-03-24 NCAA,83,N,Xavier,3,W 83-71,Rnd of 16,Midwest,200,32,61,.525,25,49,.510,7,12,.583,12,19,.632,83,28,64,.438,21,47,.447,7,17,.412,8,12,.667,71
7,Gonzaga,3,2023-03-23 NCAA,79,N,UCLA,2,W 79-76,Rnd of 16,West,200,32,64,.500,26,48,.542,6,16,.375,9,17,.529,79,28,67,.418,21,49,.429,7,18,.389,13,16,.813,76
8,UCLA,2,2023-03-23 NCAA,76,N,Gonzaga,3,L 76-79,Rnd of 16,West,200,28,67,.418,21,49,.429,7,18,.389,13,16,.813,76,32,64,.500,26,48,.542,6,16,.375,9,17,.529,79
9,Houston,1,2023-03-24 NCAA,75,N,Miami (FL),5,L 75-89,Rnd of 16,Midwest,200,24,64,.375,15,33,.455,9,31,.290,18,20,.900,75,31,60,.517,20,35,.571,11,25,.440,16,19,.842,89
10,Princeton,15,2023-03-24 NCAA,75,N,Creighton,6,L 75-86,Rnd of 16,South,200,30,65,.462,21,44,.477,9,21,.429,6,10,.600,75,32,55,.582,23,31,.742,9,24,.375,13,16,.813,86
11,Xavier,3,2023-03-24 NCAA,71,N,Texas,2,L 71-83,Rnd of 16,Midwest,200,28,64,.438,21,47,.447,7,17,.412,8,12,.667,71,32,61,.525,25,49,.510,7,12,.583,12,19,.632,83
12,San Diego State,5,2023-03-24 NCAA,71,N,Alabama,1,W 71-64,Rnd of 16,South,200,26,69,.377,20,52,.385,6,17,.353,13,22,.591,71,23,71,.324,20,44,.455,3,27,.111,15,20,.750,64
13,Arkansas,8,2023-03-23 NCAA,65,N,Connecticut,4,L 65-88,Rnd of 16,West,200,20,63,.317,15,47,.319,5,16,.313,20,27,.741,65,31,54,.574,22,34,.647,9,20,.450,17,21,.810,88
14,Alabama,1,2023-03-24 NCAA,64,N,San Diego State,5,L 64-71,Rnd of 16,South,200,23,71,.324,20,44,.455,3,27,.111,15,20,.750,64,26,69,.377,20,52,.385,6,17,.353,13,22,.591,71
15,Florida Atlantic,9,2023-03-23 NCAA,62,N,Tennessee,4,W 62-55,Rnd of 16,East,200,21,50,.420,13,23,.565,8,27,.296,12,16,.750,62,21,63,.333,15,40,.375,6,23,.261,7,12,.583,55
16,Tennessee,4,2023-03-23 NCAA,55,N,Florida Atlantic,9,L 55-62,Rnd of 16,East,200,21,63,.333,15,40,.375,6,23,.261,7,12,.583,55,21,50,.420,13,23,.565,8,27,.296,12,16,.750,62
